"Label","LarvalID","CollectionEvent","RackNo","Species","LarvaePhoto","LarvaEthanolLength","LarvaLength","KnownAge","CollectedBy","Calculated.Age","Delta13C","Delta15N","CNRatio","BodyWeight","SourceLarvae","LarvalRecords.PlateID","LarvalRecords.Row","LarvalRecords.Column","LarvalRecords.NestID","LarvalRecords.Comments","LarvalRecords.CreatedDate","LarvalOtoliths.LarvaID","OtolithCount","Otolith1Length","Otolith1Width","Otolith1Photo","PatsLength","Ratio1","Otolith1Rings","Otolith2Length","Otolith2Width","Otolith2Photo","Ratio2","Otolith2Rings","AblationSlide","AblationSlideColumn","AblationSlideRow","AblationCentralityScore","MeanOtolithLength","OLEstimateAge","MeanDailyIncrements","LarvalOtoliths.Comments","LarvalOtoliths.CreatedDate","Larva.Collection.ID","Set.Date","Net","Set.Time","Set.Flow.Rotor.Count","Set.30.Seconds.Count","Set.Rotor.Delta","Water.Temperature.on.Set","Water.Temperature.on.Pull","Pull.Time","Pull.Flow.Rotor.Count","Pull.30.sec.Rotor.Count","Pull.Rotor.Delta","Larva.Collection.Comments","Examined","Larvae.Found","Cod.Confirmed","Larvae.Comments","Weather","cSettime","cPulltime","Soak.Time","Pull.Date","Larva.Collection.Source","Depth..m.","Total.Rotor.Delta","Delta.per.Hour","Average.set.and.pull.30.sec.delta","Av.rotor.if.over.whole.soak.time","Maccullochella.larvae","Perca.larvae","Cyprinus.larvae","Other.species","Location","SoakHours","OrigTotalRotor","YearOnly","Day.of.Year","Larva.Collection.CreatedDate","SiteName","ACFlowAndWQ.ID","Datetime","ACFlowAndWQ.Station","DischargeMean","WaterTempMean","pH.Instantaneous","TurbidityMean","DOInstantaneous","Sites.ID","RiverName","RiverSystemPart","Segment","Site.Name","Latitude","Longitude","GPS.Coordinates","new.Latitude","new.Longitude","X","Y","Elevation..m..from.DEM","Distance.from.source..m.","Distance.to.Angle.Crossing..m.","Distance_old","Sites.Source","AKA","Type","Slope","Width","Depth","Description","Fishing.Access","Seg","GoTName","TwoPartName","TwoPartGoTName","ThreePartName","ThreePartGoTName","Field0","Genetics.ID","Genetics.LarvaID","Genetics.PlateID","Genetics.Row","Genetics.Column","raceCladeName","raceCladeNumber","CladeName","cladeNumber","cladeGoTName","Genetics.NestID","NestGoTName","Sibling","Genetics.Comments","Genetics.CreatedDate","ageOL","hatchdoy","incTime","spawn"
"K20111123-109","109","701","E1","","C:\DBImages\Larva\109.jpg","10.077","10.451864","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","E"," 1","NA","","02-Dec-13","109"," 2","340","290","C:\DBImages\O1\O1_0109.jpg","340","1.17","NA","340","230","C:\DBImages\O2\O2B_0003.jpg","1.48"," 3","B"," 3","A","3.0","340.0","20.15","  NA","","02-Dec-13","701","23-Nov-11","Drift net 4","00-Jan-00","762776","    NA","  NA","  NA","   NA","00-Jan-00","     NA","1137269"," NA","374492","FALSE","FALSE","FALSE","","","23/11/2011 17:30","24/11/2011 9:30","16:00","24-Nov-11",""," NA","374493","23405.8125","   NA","     NA","  2"," 1","NA","NA","Kambah Pool","16.00000","-625507","2011","327","","Kambah Pool"," 327","23-Nov-11","Angle Crossing"," 249.729","20.052","8.030"," 30.960"," 88.100","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40057","149.0146","S35°24’02.04”, E149°00’52.54”","-35.40038","149.0147","682959.3","6080670","554.0","229890.0","28825.0","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Casterly Rock","Bottom","Westeros","Middle","The Vale","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","19.0687","307.9313"," 7.295316","300.6360"
"K20111123-110","110","702","F1","","C:\DBImages\Larva\110.jpg","11.490","11.917428","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F"," 1","NA","","02-Dec-13","110"," 2","360","275","C:\DBImages\O1\O1_0110.jpg","345","1.31","NA","350","295","C:\DBImages\O2\O2B_0004.jpg","1.19"," 4","B"," 4","A","3.0","355.0","21.03","  NA","","02-Dec-13","702","23-Nov-11","Drift net 5","00-Jan-00","253483","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 990005"," NA","736522","FALSE","FALSE","FALSE","","","23/11/2011 17:30","24/11/2011 9:30","16:00","24-Nov-11",""," NA","736522","46032.6250","   NA","     NA","  2"," 6","NA","NA","Kambah Pool","16.00000"," 736522","2011","327","","Kambah Pool"," 327","23-Nov-11","Angle Crossing"," 249.729","20.052","8.030"," 30.960"," 88.100","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40057","149.0146","S35°24’02.04”, E149°00’52.54”","-35.40038","149.0147","682959.3","6080670","554.0","229890.0","28825.0","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Casterly Rock","Bottom","Westeros","Middle","The Vale","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","19.6057","307.3943"," 7.295316","300.0990"
"K20111123-111","111","702","F2","","C:\DBImages\Larva\111.jpg","10.018","10.390670","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F"," 2","NA","","02-Dec-13","111"," 2","260","190","C:\DBImages\O1\O1_0111.jpg","260","1.37","NA","270","195","C:\DBImages\O2\O2B_0005.jpg","1.38","NA","B"," 5","A","4.0","265.0","15.71","  NA","","02-Dec-13","702","23-Nov-11","Drift net 5","00-Jan-00","253483","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 990005"," NA","736522","FALSE","FALSE","FALSE","","","23/11/2011 17:30","24/11/2011 9:30","16:00","24-Nov-11",""," NA","736522","46032.6250","   NA","     NA","  2"," 6","NA","NA","Kambah Pool","16.00000"," 736522","2011","327","","Kambah Pool"," 327","23-Nov-11","Angle Crossing"," 249.729","20.052","8.030"," 30.960"," 88.100","4","Murrumbidgee","NA","NA","Kambah Pool","-35.40057","149.0146","S35°24’02.04”, E149°00’52.54”","-35.40038","149.0147","682959.3","6080670","554.0","229890.0","28825.0","29854","M2G Project Information Document","Kambah","Sample","0.23","37","7.0","Low gradient, confined valley","9","29","Casterly Rock","Bottom","Westeros","Middle","The Vale","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","16.3837","310.6163"," 7.295316","303.3210"
"B20111124-112","112","704","F3","","C:\DBImages\Larva\112.jpg"," 9.548"," 9.903186","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F"," 3","NA","","02-Dec-13","112"," 2","230","185","C:\DBImages\O1\O1_0112.jpg","240","1.24"," 6","260","165","C:\DBImages\O2\O2B_0006.jpg","1.58"," 8","B"," 6","A","5.0","245.0","14.53"," 7.0","","02-Dec-13","704","24-Nov-11","Drift net 4","00-Jan-00","137327","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 267247"," NA","129920","FALSE","FALSE","FALSE","","","24/11/2011 18:00","25/11/2011 9:30","15:30","25-Nov-11",""," NA","129920"," 8661.3333","   NA","     NA","  8","NA","NA","NA","Bullen Range","15.50000"," 129920","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","15.6677","312.3323"," 7.870937","304.4614"
"B20111124-113","113","704","F4","","C:\DBImages\Larva\113.jpg","11.504","11.931949","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F"," 4","NA","","02-Dec-13","113"," 2","290","205","C:\DBImages\O1\O1_0113.jpg","275","1.41","NA","280","200","C:\DBImages\O2\O2B_0007.jpg","1.40"," 7","B"," 7","A","5.0","285.0","16.89","  NA","","02-Dec-13","704","24-Nov-11","Drift net 4","00-Jan-00","137327","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 267247"," NA","129920","FALSE","FALSE","FALSE","","","24/11/2011 18:00","25/11/2011 9:30","15:30","25-Nov-11",""," NA","129920"," 8661.3333","   NA","     NA","  8","NA","NA","NA","Bullen Range","15.50000"," 129920","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","17.0997","310.9003"," 7.870937","303.0294"
"B20111124-114","114","704","F5","","C:\DBImages\Larva\114.jpg","12.480","12.944256","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F"," 5","NA","","02-Dec-13","114"," 2","360","275","C:\DBImages\O1\O1_0114.jpg","350","1.31"," 7","380","255","C:\DBImages\O2\O2B_0008.jpg","1.49"," 6","B"," 8","A","4.0","370.0","21.92"," 6.5","","02-Dec-13","704","24-Nov-11","Drift net 4","00-Jan-00","137327","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 267247"," NA","129920","FALSE","FALSE","FALSE","","","24/11/2011 18:00","25/11/2011 9:30","15:30","25-Nov-11",""," NA","129920"," 8661.3333","   NA","     NA","  8","NA","NA","NA","Bullen Range","15.50000"," 129920","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","20.1427","307.8573"," 7.870937","299.9864"
"B20111124-115","115","704","F6","","C:\DBImages\Larva\115.jpg","11.355","11.777406","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F"," 6","NA","","02-Dec-13","115"," 2","310","220","C:\DBImages\O1\O1_0115.jpg","295","1.41","NA","300","225","C:\DBImages\O2\O2B_0009.jpg","1.33","NA","B"," 9","A","4.5","305.0","18.08","  NA","","02-Dec-13","704","24-Nov-11","Drift net 4","00-Jan-00","137327","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 267247"," NA","129920","FALSE","FALSE","FALSE","","","24/11/2011 18:00","25/11/2011 9:30","15:30","25-Nov-11",""," NA","129920"," 8661.3333","   NA","     NA","  8","NA","NA","NA","Bullen Range","15.50000"," 129920","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","17.8157","310.1843"," 7.870937","302.3134"
"B20111124-116","116","704","F7","","C:\DBImages\Larva\116.jpg","10.229","10.609519","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F"," 7","NA","","02-Dec-13","116"," 2","280","195","C:\DBImages\O1\O1_0116.jpg","245","1.44","NA","260","190","C:\DBImages\O2\O2B_0010.jpg","1.37"," 5","B","10","A","4.0","270.0","16.01","  NA","","02-Dec-13","704","24-Nov-11","Drift net 4","00-Jan-00","137327","    NA","  NA","  NA","   NA","00-Jan-00","     NA"," 267247"," NA","129920","FALSE","FALSE","FALSE","","","24/11/2011 18:00","25/11/2011 9:30","15:30","25-Nov-11",""," NA","129920"," 8661.3333","   NA","     NA","  8","NA","NA","NA","Bullen Range","15.50000"," 129920","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","16.5627","311.4373"," 7.870937","303.5664"
"B20111124-117","117","703","F8","","C:\DBImages\Larva\117.jpg","12.058","12.506558","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F"," 8","NA","","02-Dec-13","117"," 2","340","270","C:\DBImages\O1\O1_0117.jpg","330","1.26"," 7","330","245","C:\DBImages\O2\O2B_0011.jpg","1.35"," 4","B"," 1","B","3.0","335.0","19.85"," 5.5","","02-Dec-13","703","24-Nov-11","Eel net","00-Jan-00","    NA","    NA","  NA","  NA","   NA","00-Jan-00","     NA","     NA"," NA","","FALSE","FALSE","FALSE","","","24/11/2011 17:30","25/11/2011 10:00","16:30","25-Nov-11",""," NA","    NA","        NA","   NA","     NA"," 22","NA","NA","NA","Bullen Range","16.50000","     NA","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","18.8897","309.1103"," 7.870937","301.2394"
"B20111124-118","118","703","F9","","C:\DBImages\Larva\118.jpg","10.192","10.571142","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F"," 9","NA","","02-Dec-13","118"," 2","220","185","C:\DBImages\O1\O1_0118.jpg","220","1.19"," 6","240","170","C:\DBImages\O2\O2B_0012.jpg","1.41"," 5","B"," 2","B","4.5","230.0","13.64"," 5.5","","02-Dec-13","703","24-Nov-11","Eel net","00-Jan-00","    NA","    NA","  NA","  NA","   NA","00-Jan-00","     NA","     NA"," NA","","FALSE","FALSE","FALSE","","","24/11/2011 17:30","25/11/2011 10:00","16:30","25-Nov-11",""," NA","    NA","        NA","   NA","     NA"," 22","NA","NA","NA","Bullen Range","16.50000","     NA","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","15.1307","312.8693"," 7.870937","304.9984"
"B20111124-119","119","703","F10","","C:\DBImages\Larva\119.jpg"," 9.507"," 9.860660","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F","10","NA","","02-Dec-13","119"," 2","280","220","C:\DBImages\O1\O1_0119.jpg","265","1.27","NA","290","200","C:\DBImages\O2\O2B_0013.jpg","1.45","NA","B"," 3","B","2.0","285.0","16.89","  NA","","02-Dec-13","703","24-Nov-11","Eel net","00-Jan-00","    NA","    NA","  NA","  NA","   NA","00-Jan-00","     NA","     NA"," NA","","FALSE","FALSE","FALSE","","","24/11/2011 17:30","25/11/2011 10:00","16:30","25-Nov-11",""," NA","    NA","        NA","   NA","     NA"," 22","NA","NA","NA","Bullen Range","16.50000","     NA","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","17.0997","310.9003"," 7.870937","303.0294"
"B20111124-120","120","703","F11","","C:\DBImages\Larva\120.jpg","11.000","11.409200","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F","11","NA","","02-Dec-13","120"," 2","270","205","C:\DBImages\O1\O1_0120.jpg","250","1.32","NA","260","190","C:\DBImages\O2\O2B_0014.jpg","1.37"," 4","B"," 4","B","3.5","265.0","15.71","  NA","","02-Dec-13","703","24-Nov-11","Eel net","00-Jan-00","    NA","    NA","  NA","  NA","   NA","00-Jan-00","     NA","     NA"," NA","","FALSE","FALSE","FALSE","","","24/11/2011 17:30","25/11/2011 10:00","16:30","25-Nov-11",""," NA","    NA","        NA","   NA","     NA"," 22","NA","NA","NA","Bullen Range","16.50000","     NA","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","16.3837","311.6163"," 7.870937","303.7454"
"B20111124-121","121","703","F12","","C:\DBImages\Larva\121.jpg","11.255","11.673686","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","F","12","NA","","02-Dec-13","121"," 2","250","205","C:\DBImages\O1\O1_0121.jpg","290","1.22","NA","270","210","C:\DBImages\O2\O2B_0015.jpg","1.29"," 3","B"," 5","B","4.0","260.0","15.41","  NA","","02-Dec-13","703","24-Nov-11","Eel net","00-Jan-00","    NA","    NA","  NA","  NA","   NA","00-Jan-00","     NA","     NA"," NA","","FALSE","FALSE","FALSE","","","24/11/2011 17:30","25/11/2011 10:00","16:30","25-Nov-11",""," NA","    NA","        NA","   NA","     NA"," 22","NA","NA","NA","Bullen Range","16.50000","     NA","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","16.2047","311.7953"," 7.870937","303.9244"
"B20111124-122","122","705","G12","","C:\DBImages\Larva\122.jpg","10.828","11.230802","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","G","12","NA","","02-Dec-13","122"," 2","290","235","C:\DBImages\O1\O1_0122.jpg","290","1.23","NA","280","195","C:\DBImages\O2\O2B_0016.jpg","1.44"," 5","B"," 7","B","5.0","285.0","16.89","  NA","","02-Dec-13","705","24-Nov-11","Drift net 5","00-Jan-00","990074","    NA","  NA","  NA","   NA","00-Jan-00","     NA","1090003"," NA","99928","FALSE","FALSE","FALSE","","","24/11/2011 18:00","25/11/2011 9:30","15:30","25-Nov-11",""," NA"," 99929"," 6661.9333","   NA","     NA","  9","NA","NA","NA","Bullen Range","15.50000","-900071","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","17.0997","310.9003"," 7.870937","303.0294"
"B20111124-123","123","705","G11","","C:\DBImages\Larva\123.jpg","10.877","11.281624","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","G","11","NA","","02-Dec-13","123"," 2","300","205","C:\DBImages\O1\O1_0123.jpg","275","1.46"," 5","290","200","C:\DBImages\O2\O2B_0017.jpg","1.45"," 3","B"," 8","B","3.0","295.0","17.48"," 4.0","","02-Dec-13","705","24-Nov-11","Drift net 5","00-Jan-00","990074","    NA","  NA","  NA","   NA","00-Jan-00","     NA","1090003"," NA","99928","FALSE","FALSE","FALSE","","","24/11/2011 18:00","25/11/2011 9:30","15:30","25-Nov-11",""," NA"," 99929"," 6661.9333","   NA","     NA","  9","NA","NA","NA","Bullen Range","15.50000","-900071","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","17.4577","310.5423"," 7.870937","302.6714"
"B20111124-124","124","705","G10","","C:\DBImages\Larva\124.jpg","11.256","11.674723","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","G","10","NA","","02-Dec-13","124"," 2","350","255","C:\DBImages\O1\O1_0124.jpg","325","1.37","NA","360","230","C:\DBImages\O2\O2B_0018.jpg","1.57"," 7","B"," 9","B","3.5","355.0","21.03","  NA"," (remeasured 6/8/14)","02-Dec-13","705","24-Nov-11","Drift net 5","00-Jan-00","990074","    NA","  NA","  NA","   NA","00-Jan-00","     NA","1090003"," NA","99928","FALSE","FALSE","FALSE","","","24/11/2011 18:00","25/11/2011 9:30","15:30","25-Nov-11",""," NA"," 99929"," 6661.9333","   NA","     NA","  9","NA","NA","NA","Bullen Range","15.50000","-900071","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","19.6057","308.3943"," 7.870937","300.5234"
"B20111124-125","125","705","G9","","C:\DBImages\Larva\125.jpg","11.060","11.471432","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","G"," 9","NA","","02-Dec-13","125"," 2","270","225","C:\DBImages\O1\O1_0125.jpg","275","1.20","NA","290","195","C:\DBImages\O2\O2B_0019.jpg","1.49","NA","B","10","B","5.0","280.0","16.60","  NA","","02-Dec-13","705","24-Nov-11","Drift net 5","00-Jan-00","990074","    NA","  NA","  NA","   NA","00-Jan-00","     NA","1090003"," NA","99928","FALSE","FALSE","FALSE","","","24/11/2011 18:00","25/11/2011 9:30","15:30","25-Nov-11",""," NA"," 99929"," 6661.9333","   NA","     NA","  9","NA","NA","NA","Bullen Range","15.50000","-900071","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","16.9207","311.0793"," 7.870937","303.2084"
"B20111124-126","126","705","G8","","C:\DBImages\Larva\126-Copy.jpg","10.502","10.892674","NA","Anu Datta","NA","    NA","   NA","  NA","  NA","Wild caught Murrumbidgee","2011A","G"," 9","NA","","02-Dec-13","126"," 2","270","200","C:\DBImages\O1\O1_0126.jpg","250","1.35"," 7","280","185","C:\DBImages\O2\O2B_0020.jpg","1.51"," 4","B","11","B","4.5","275.0","16.30"," 5.5","","02-Dec-13","705","24-Nov-11","Drift net 5","00-Jan-00","990074","    NA","  NA","  NA","   NA","00-Jan-00","     NA","1090003"," NA","99928","FALSE","FALSE","FALSE","","","24/11/2011 18:00","25/11/2011 9:30","15:30","25-Nov-11",""," NA"," 99929"," 6661.9333","   NA","     NA","  9","NA","NA","NA","Bullen Range","15.50000","-900071","2011","328","","Bullen Range"," 328","24-Nov-11","Angle Crossing"," 279.005","19.189","8.180"," 28.097"," 90.900","5","Murrumbidgee","NA","NA","Bullen Range","-35.37628","148.9857","S35°22’34.60”, E148°59’08.40”","-35.37450","148.9841","680234.8","6083618","527.4","231917.4","34906.3","35414","M2G Project Information Document","Fairvale","Sample","0.27","65","5.0","Low gradient, confined valley with floodplain pockets","8","35","Kings Landing","Bottom","Westeros","Lower","The Reach","Angle Crossing","NA","NA","NA","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","","16.7417","311.2583"," 7.870937","303.3874"
