Label,LarvalRecords.LarvaID,CollectionEvent,RackNo,Species,LarvaePhoto,LarvaEthanolLength,LarvaLength,KnownAge,CollectedBy,LarvalRecords.Comments,Calculated Age,Delta13C,Delta15N,CNRatio,BodyWeight,SourceLarvae,LarvalRecords.CreatedDate,LarvalRecords.PlateID,LarvalRecords.Row,LarvalRecords.Column,LarvalRecords.NestID,LarvalOtoliths.LarvaID,OtolithCount,Otolith1Length,Otolith1Width,Otolith1Photo,PatsLength,Ratio1,Otolith1Rings,Otolith2Length,Otolith2Width,Otolith2Photo,Ratio2,Otolith2Rings,AblationSlide,AblationSlideColumn,AblationSlideRow,AblationCentralityScore,MeanOtolithLength,LarvalOtoliths.Comments,MeanDailyIncrements,LarvalOtoliths.CreatedDate,OLEstimateAge,Larva Collection.ID,Set Date,Net,Set Time,Set Flow Rotor Count,Set 30 Seconds Count,Set Rotor Delta,Water Temperature on Set,Water Temperature on Pull,Pull Time,Pull Flow Rotor Count,Pull 30 sec Rotor Count,Pull Rotor Delta,Larva Collection.Comments,Examined,Larvae Found,Cod Confirmed,Larvae Comments,Weather,cSettime,cPulltime,Soak Time,Pull Date,Larva Collection.Source,Depth (m),Total Rotor Delta,Delta per Hour,Average set and pull 30 sec delta,Av rotor if over whole soak time,Maccullochella larvae,Perca larvae,Cyprinus larvae,Other species,Location,SoakHours,OrigTotalRotor,YearOnly,Day of Year,Larva Collection.CreatedDate,SiteName,ACFlowAndWQ.ID,Datetime,ACFlowAndWQ.Station,DischargeMean,WaterTempMean,pH Instantaneous,TurbidityMean,DOInstantaneous,Sites.ID,RiverName,RiverSystemPart,Segment,Site Name,Latitude,Longitude,GPS Coordinates,new Latitude,new Longitude,X,Y,Elevation (m) from DEM,Distance from source (m),Distance to Angle Crossing (m),Distance_old,Sites.Source,AKA,Type,Slope,Width,Depth,Description,Fishing Access,Seg,Field0,ageOL,hatchDoY,incubTime,spawnDoY,Genetics.PlateID,Genetics.Row,Genetics.Column,raceCladeName,raceCladeNumber,CladeName,cladeNumber,cladeGoTName,Genetics.NestID,NestGoTName,Sibling,SiblingIDs,Genetics.Comments,Genetics.CreatedDate,nestMother
K20111110-2,21,684,A11,M. peelii,C:\DBImages\Larva\K20111110-2.tif,12.3,12.75756,,Anu Datta,Gut ruptured,,,,,,Wild caught Murrumbidgee,,2011A,A,11.00,,21,2,,,C:\DBImages\O1\NoImage.jpg,,,,,,C:\DBImages\O2\NoImage.jpg,,,,,,,,Gut ruptured,,,,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,,,6.144074,,,,,,,,,,,,,,,,
K20111110-3,22,684,A12,M. peelii,C:\DBImages\Larva\K20111110-3.tif,,,,Anu Datta,8.29 +1.46+2.04 Dodgy measurement,,,,,,Wild caught Murrumbidgee,,2011A,A,12.00,,22,2,250,,C:\DBImages\O1\NoImage.jpg,,,,,,C:\DBImages\O2\NoImage.jpg,,,,,,,250,8.29 +1.46+2.04 Dodgy measurement,,,14.82,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,14.8227233,298.1772767,6.144074,292.0332027,,,,,,,,,,,,,,,
K20111110-4,23,684,B1,M. peelii,C:\DBImages\Larva\K20111110-4.tif,,,,Anu Datta,"8.63+5.195 Dodgy measurement

Problem with measurement. Do NOT use.",,,,,,Wild caught Murrumbidgee,,2011A,B,1.00,,23,2,250,,C:\DBImages\O1\NoImage.jpg,,,11,,,C:\DBImages\O2\NoImage.jpg,,,,,,,250,"8.63+5.195 Dodgy measurement

Problem with measurement. Do NOT use.",11,,14.82,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,14.8227233,298.1772767,6.144074,292.0332027,,,,,,,,,,,,,,,
K20111110-5,24,684,B2,M. peelii,C:\DBImages\Larva\K20111110-5.jpg,10.9,11.30548,,Anu Datta,Could not count rings before polishing.,,,,,,Wild caught Murrumbidgee,,2011A,B,2.00,,24,2,290,,C:\DBImages\O1\NoImage.jpg,,,,,,C:\DBImages\O2\NoImage.jpg,,,,,,,290,Could not count rings before polishing.,,,17.19,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,17.1890593,295.8109407,6.144074,289.6668667,,,,,,,,,,,,,,,
K20111110-6,25,684,B3,M. peelii,C:\DBImages\Larva\K20111110-6.tif,10.38,10.766136,,Anu Datta,,,,,,,Wild caught Murrumbidgee,,2011A,B,3.00,,25,2,300,,C:\DBImages\O1\NoImage.jpg,,,10,,,C:\DBImages\O2\NoImage.jpg,,,,,,,300,,10,,17.78,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,17.7806433,295.2193567,6.144074,289.0752827,,,,,,,,,,,,,,,
K20111110-7,26,684,B4,M. peelii,C:\DBImages\Larva\K20111110-7.tif,10.95,11.35734,,Anu Datta,"Wet Weight Total  0.0134 with ethanol which evaporates quickly

Head 0.0068
Gut 0.0046
Body 0.0077

couldn’t count b4 polish",,,,,,Wild caught Murrumbidgee,,2011A,B,4.00,,26,2,290,,C:\DBImages\O1\NoImage.jpg,,,,,,C:\DBImages\O2\NoImage.jpg,,,,,,,290,"Wet Weight Total  0.0134 with ethanol which evaporates quickly

Head 0.0068
Gut 0.0046
Body 0.0077

couldn’t count b4 polish",,,17.19,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,17.1890593,295.8109407,6.144074,289.6668667,,,,,,,,,,,,,,,
K20111110-8,27,684,B5,M. peelii,C:\DBImages\NoImage.jpg,10.286,10.6686392,,Anu Datta,,,,,,,Wild caught Murrumbidgee,,2011A,B,5.00,,27,2,260,,C:\DBImages\O1\NoImage.jpg,,,,,,C:\DBImages\O2\NoImage.jpg,,,,,,,260,,,,15.41,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,15.4143073,297.5856927,6.144074,291.4416187,,,,,,,,,,,,,,,
K20111110-9,28,684,B6,M. peelii,C:\DBImages\NoImage.jpg,10.968,11.3760096,,Anu Datta,,,,,,,Wild caught Murrumbidgee,,2011A,B,6.00,,28,2,290,,C:\DBImages\O1\NoImage.jpg,,,11,,,C:\DBImages\O2\NoImage.jpg,,,,,,,290,,11,,17.19,684,09-Nov-11,Drift net 5,00-Jan-00,443151,,,,,00-Jan-00,,454508,,11357,FALSE,FALSE,FALSE,,,9/11/2011 18:00,10/11/2011 9:00,15:00,10-Nov-11,,,11357,757.1333333,,,73,,2,,Kambah Pool,15,11357,2011,313,,Kambah Pool,313,09-Nov-11,Angle Crossing,268.001,21.778,7.27,29.66,89.1,4,Murrumbidgee,,,Kambah Pool,-35.400567,149.014594,"S35°24’02.04”, E149°00’52.54”",-35.40037893,149.0147227,682959.2849,6080670.471,554,229890.0,28825.0,29854,M2G Project Information Document,Kambah,Sample,0.23,37,7,"Low gradient, confined valley",9,29,Angle Crossing,17.1890593,295.8109407,6.144074,289.6668667,,,,,,,,,,,,,,,
B20111111-1,68,687,B7,M. peelii,C:\DBImages\NoImage.jpg,10.567,10.9600924,,Anu Datta,Row 1 col 1 on slide.,,,,,,Wild caught Murrumbidgee,18-Sep-13,2011A,B,7.00,,68,2,300,,C:\DBImages\O1\NoImage.jpg,,,9,290,220,C:\DBImages\O2\O2A_0001.jpg,1.32,4,A,1,A,4,295,Row 1 col 1 on slide.,6.5,18-Sep-13,17.48,687,10-Nov-11,Drift net 5,00-Jan-00,454594,,,,,00-Jan-00,,623092,,168498,FALSE,FALSE,FALSE,,,10/11/2011 18:00,11/11/2011 9:30,15:30,11-Nov-11,,,168498,11233.2,,,5,,,,Bullen Range,15.5,168498,2011,314,,Bullen Range,314,10-Nov-11,Angle Crossing,290.515,21.85,7.3,31.863,92.2,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,17.4848513,296.5151487,6.09605,290.4190987,,,,,,,,,,,,,,,
B20111111-2,69,687,B8,M. peelii,C:\DBImages\NoImage.jpg,11.033,11.4434276,,Anu Datta,"Row 1 col 2 on slide.
2nd mounted on slide, polished, heated, slide broken and repaired.",,,,,,Wild caught Murrumbidgee,18-Sep-13,2011A,B,8.00,,69,2,280,,C:\DBImages\O1\NoImage.jpg,,,10,280,210,C:\DBImages\O2\O2A_0002.jpg,1.33,7,A,2,A,5,280,"Row 1 col 2 on slide.
2nd mounted on slide, polished, heated, slide broken and repaired.",8.5,18-Sep-13,16.60,687,10-Nov-11,Drift net 5,00-Jan-00,454594,,,,,00-Jan-00,,623092,,168498,FALSE,FALSE,FALSE,,,10/11/2011 18:00,11/11/2011 9:30,15:30,11-Nov-11,,,168498,11233.2,,,5,,,,Bullen Range,15.5,168498,2011,314,,Bullen Range,314,10-Nov-11,Angle Crossing,290.515,21.85,7.3,31.863,92.2,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,16.5974753,297.4025247,6.09605,291.3064747,,,,,,,,,,,,,,,
B20111110-70,70,685,B9,,C:\DBImages\NoImage.jpg,11.44,11.865568,,Anu Datta,Row 1 col 3 on slide.,,,,,,Wild caught Murrumbidgee,27-Sep-13,2011A,B,9.00,,70,2,302,250,C:\DBImages\O1\O1_0070.jpg,320,1.21,9,300,240,C:\DBImages\O2\O2A_0003.jpg,1.25,7,A,3,A,5,301,Row 1 col 3 on slide.,8,27-Sep-13,17.84,685,10-Nov-11,Eel net,00-Jan-00,,,,,,00-Jan-00,,,,,FALSE,FALSE,FALSE,,,10/11/2011 17:30,11/11/2011 10:00,16:30,11-Nov-11,,,,,,,27,,,,Bullen Range,16.5,,2011,314,,Bullen Range,314,10-Nov-11,Angle Crossing,290.515,21.85,7.3,31.863,92.2,5,Murrumbidgee,,,Bullen Range,-35.376278,148.985667,"S35°22’34.60”, E148°59’08.40”",-35.374501,148.984091,680234.8128,6083617.837,527.4,231917.4,34906.3,35414,M2G Project Information Document,Fairvale,Sample,0.27,65,5,"Low gradient, confined valley with floodplain pockets",8,35,Angle Crossing,17.8398017,296.1601983,6.09605,290.0641483,,,,,,,,,,,,,,,
